Symbol,Security Name,Date
RYLD,Global X Russell 2000 Covered Call ETF,2019-10-03
WFIG,WisdomTree U.S. Corporate Bond Fund,2019-10-03
ESML,iShares ESG MSCI USA Small-Cap ETF,2019-10-04
IBMM,iShares iBonds Dec 2024 Term Muni Bond ETF,2019-10-04
IBMN,iShares iBonds Dec 2025 Term Muni Bond ETF,2019-10-04
IEDI,iShares Evolved U.S. Discretionary Spending ETF,2019-10-04
JCPB,JPMorgan Core Plus Bond ETF,2019-10-04
PAUG,Innovator S&P 500 Power Buffer ETF - August,2019-10-04
PSEP,Innovator S&P 500 Power Buffer ETF - September,2019-10-04
RYLD,Global X Russell 2000 Covered Call ETF,2019-10-04
WFIG,WisdomTree U.S. Corporate Bond Fund,2019-10-04
ESML,iShares ESG MSCI USA Small-Cap ETF,2019-10-07
IBMM,iShares iBonds Dec 2024 Term Muni Bond ETF,2019-10-07
IBMN,iShares iBonds Dec 2025 Term Muni Bond ETF,2019-10-07
IEDI,iShares Evolved U.S. Discretionary Spending ETF,2019-10-07
JCPB,JPMorgan Core Plus Bond ETF,2019-10-07
PAUG,Innovator S&P 500 Power Buffer ETF - August,2019-10-07
PSEP,Innovator S&P 500 Power Buffer ETF - September,2019-10-07
RYLD,Global X Russell 2000 Covered Call ETF,2019-10-07
WFIG,WisdomTree U.S. Corporate Bond Fund,2019-10-07
ESML,iShares ESG MSCI USA Small-Cap ETF,2019-10-08
IBMM,iShares iBonds Dec 2024 Term Muni Bond ETF,2019-10-08
IBMN,iShares iBonds Dec 2025 Term Muni Bond ETF,2019-10-08
IEDI,iShares Evolved U.S. Discretionary Spending ETF,2019-10-08
JCPB,JPMorgan Core Plus Bond ETF,2019-10-08
PAUG,Innovator S&P 500 Power Buffer ETF - August,2019-10-08
RYLD,Global X Russell 2000 Covered Call ETF,2019-10-08
UOCT,Innovator S&P 500 Ultra Buffer ETF - October,2019-10-08
WFIG,WisdomTree U.S. Corporate Bond Fund,2019-10-08
ESML,iShares ESG MSCI USA Small-Cap ETF,2019-10-09
IBMM,iShares iBonds Dec 2024 Term Muni Bond ETF,2019-10-09
IBMN,iShares iBonds Dec 2025 Term Muni Bond ETF,2019-10-09
IEDI,iShares Evolved U.S. Discretionary Spending ETF,2019-10-09
PAUG,Innovator S&P 500 Power Buffer ETF - August,2019-10-09
RYLD,Global X Russell 2000 Covered Call ETF,2019-10-09
UOCT,Innovator S&P 500 Ultra Buffer ETF - October,2019-10-09
WFIG,WisdomTree U.S. Corporate Bond Fund,2019-10-09
ESML,iShares ESG MSCI USA Small-Cap ETF,2019-10-10
IBMM,iShares iBonds Dec 2024 Term Muni Bond ETF,2019-10-10
IBMN,iShares iBonds Dec 2025 Term Muni Bond ETF,2019-10-10
IEDI,iShares Evolved U.S. Discretionary Spending ETF,2019-10-10
PAUG,Innovator S&P 500 Power Buffer ETF - August,2019-10-10
RYLD,Global X Russell 2000 Covered Call ETF,2019-10-10
UOCT,Innovator S&P 500 Ultra Buffer ETF - October,2019-10-10
WFIG,WisdomTree U.S. Corporate Bond Fund,2019-10-10
BEMO,Aptus Drawdown Managed Equity ETF,2019-10-11
ESML,iShares ESG MSCI USA Small-Cap ETF,2019-10-11
IBMM,iShares iBonds Dec 2024 Term Muni Bond ETF,2019-10-11
IBMN,iShares iBonds Dec 2025 Term Muni Bond ETF,2019-10-11
IEDI,iShares Evolved U.S. Discretionary Spending ETF,2019-10-11
PAUG,Innovator S&P 500 Power Buffer ETF - August,2019-10-11
PBND,Invesco PureBeta US Aggregate Bond ETF,2019-10-11
UOCT,Innovator S&P 500 Ultra Buffer ETF - October,2019-10-11
WFIG,WisdomTree U.S. Corporate Bond Fund,2019-10-11
BEMO,Aptus Drawdown Managed Equity ETF,2019-10-15
ESML,iShares ESG MSCI USA Small-Cap ETF,2019-10-15
IBMN,iShares iBonds Dec 2025 Term Muni Bond ETF,2019-10-15
IEDI,iShares Evolved U.S. Discretionary Spending ETF,2019-10-15
PAUG,Innovator S&P 500 Power Buffer ETF - August,2019-10-15
PBND,Invesco PureBeta US Aggregate Bond ETF,2019-10-15
UOCT,Innovator S&P 500 Ultra Buffer ETF - October,2019-10-15
WFIG,WisdomTree U.S. Corporate Bond Fund,2019-10-15
BEMO,Aptus Drawdown Managed Equity ETF,2019-10-16
ESML,iShares ESG MSCI USA Small-Cap ETF,2019-10-16
IBMN,iShares iBonds Dec 2025 Term Muni Bond ETF,2019-10-16
IEDI,iShares Evolved U.S. Discretionary Spending ETF,2019-10-16
PAUG,Innovator S&P 500 Power Buffer ETF - August,2019-10-16
PBND,Invesco PureBeta US Aggregate Bond ETF,2019-10-16
UOCT,Innovator S&P 500 Ultra Buffer ETF - October,2019-10-16
WFIG,WisdomTree U.S. Corporate Bond Fund,2019-10-16
BEMO,Aptus Drawdown Managed Equity ETF,2019-10-17
ESML,iShares ESG MSCI USA Small-Cap ETF,2019-10-17
IEDI,iShares Evolved U.S. Discretionary Spending ETF,2019-10-17
PAUG,Innovator S&P 500 Power Buffer ETF - August,2019-10-17
PBND,Invesco PureBeta US Aggregate Bond ETF,2019-10-17
UOCT,Innovator S&P 500 Ultra Buffer ETF - October,2019-10-17
WFIG,WisdomTree U.S. Corporate Bond Fund,2019-10-17
BEMO,Aptus Drawdown Managed Equity ETF,2019-10-18
ESML,iShares ESG MSCI USA Small-Cap ETF,2019-10-18
IEDI,iShares Evolved U.S. Discretionary Spending ETF,2019-10-18
PAUG,Innovator S&P 500 Power Buffer ETF - August,2019-10-18
PBND,Invesco PureBeta US Aggregate Bond ETF,2019-10-18
UOCT,Innovator S&P 500 Ultra Buffer ETF - October,2019-10-18
WFIG,WisdomTree U.S. Corporate Bond Fund,2019-10-18
BEMO,Aptus Drawdown Managed Equity ETF,2019-10-21
ESML,iShares ESG MSCI USA Small-Cap ETF,2019-10-21
IEDI,iShares Evolved U.S. Discretionary Spending ETF,2019-10-21
PAUG,Innovator S&P 500 Power Buffer ETF - August,2019-10-21
PBND,Invesco PureBeta US Aggregate Bond ETF,2019-10-21
UOCT,Innovator S&P 500 Ultra Buffer ETF - October,2019-10-21
WFIG,WisdomTree U.S. Corporate Bond Fund,2019-10-21
ESML,iShares ESG MSCI USA Small-Cap ETF,2019-10-22
IEDI,iShares Evolved U.S. Discretionary Spending ETF,2019-10-22
PAUG,Innovator S&P 500 Power Buffer ETF - August,2019-10-22
WFIG,WisdomTree U.S. Corporate Bond Fund,2019-10-22
ESML,iShares ESG MSCI USA Small-Cap ETF,2019-10-23
IEDI,iShares Evolved U.S. Discretionary Spending ETF,2019-10-23
PAUG,Innovator S&P 500 Power Buffer ETF - August,2019-10-23
WFIG,WisdomTree U.S. Corporate Bond Fund,2019-10-23
ESML,iShares ESG MSCI USA Small-Cap ETF,2019-10-24
IEDI,iShares Evolved U.S. Discretionary Spending ETF,2019-10-24
PAUG,Innovator S&P 500 Power Buffer ETF - August,2019-10-24
WFIG,WisdomTree U.S. Corporate Bond Fund,2019-10-24
ESML,iShares ESG MSCI USA Small-Cap ETF,2019-10-25
IEDI,iShares Evolved U.S. Discretionary Spending ETF,2019-10-25
PAUG,Innovator S&P 500 Power Buffer ETF - August,2019-10-25
WFIG,WisdomTree U.S. Corporate Bond Fund,2019-10-25
ESML,iShares ESG MSCI USA Small-Cap ETF,2019-10-28
IEDI,iShares Evolved U.S. Discretionary Spending ETF,2019-10-28
WFIG,WisdomTree U.S. Corporate Bond Fund,2019-10-28
ESML,iShares ESG MSCI USA Small-Cap ETF,2019-10-29
IEDI,iShares Evolved U.S. Discretionary Spending ETF,2019-10-29
WFIG,WisdomTree U.S. Corporate Bond Fund,2019-10-29
ESML,iShares ESG MSCI USA Small-Cap ETF,2019-10-30
IEDI,iShares Evolved U.S. Discretionary Spending ETF,2019-10-30
WFIG,WisdomTree U.S. Corporate Bond Fund,2019-10-30
ESML,iShares ESG MSCI USA Small-Cap ETF,2019-10-31
IEDI,iShares Evolved U.S. Discretionary Spending ETF,2019-10-31
WFIG,WisdomTree U.S. Corporate Bond Fund,2019-10-31
ESML,iShares ESG MSCI USA Small-Cap ETF,2019-11-01
IEDI,iShares Evolved U.S. Discretionary Spending ETF,2019-11-01
TBLU,Tortoise Global Water ESG Fund,2019-11-01
WFIG,WisdomTree U.S. Corporate Bond Fund,2019-11-01
ESML,iShares ESG MSCI USA Small-Cap ETF,2019-11-04
IEDI,iShares Evolved U.S. Discretionary Spending ETF,2019-11-04
TBLU,Tortoise Global Water ESG Fund,2019-11-04
WFIG,WisdomTree U.S. Corporate Bond Fund,2019-11-04
ESML,iShares ESG MSCI USA Small-Cap ETF,2019-11-05
IEDI,iShares Evolved U.S. Discretionary Spending ETF,2019-11-05
TBLU,Tortoise Global Water ESG Fund,2019-11-05
WFIG,WisdomTree U.S. Corporate Bond Fund,2019-11-05
ESML,iShares ESG MSCI USA Small-Cap ETF,2019-11-06
IEDI,iShares Evolved U.S. Discretionary Spending ETF,2019-11-06
TBLU,Tortoise Global Water ESG Fund,2019-11-06
WFIG,WisdomTree U.S. Corporate Bond Fund,2019-11-06
ESML,iShares ESG MSCI USA Small-Cap ETF,2019-11-07
FIBR,iShares Edge U.S. Fixed Income Balanced Risk ETF,2019-11-07
IBMN,iShares iBonds Dec 2025 Term Muni Bond ETF,2019-11-07
IEDI,iShares Evolved U.S. Discretionary Spending ETF,2019-11-07
TBLU,Tortoise Global Water ESG Fund,2019-11-07
WFIG,WisdomTree U.S. Corporate Bond Fund,2019-11-07
ESML,iShares ESG MSCI USA Small-Cap ETF,2019-11-08
FIBR,iShares Edge U.S. Fixed Income Balanced Risk ETF,2019-11-08
IBMN,iShares iBonds Dec 2025 Term Muni Bond ETF,2019-11-08
IEDI,iShares Evolved U.S. Discretionary Spending ETF,2019-11-08
TBLU,Tortoise Global Water ESG Fund,2019-11-08
WFIG,WisdomTree U.S. Corporate Bond Fund,2019-11-08
BNOV,Innovator S&P 500 Buffer ETF - November,2019-11-12
ESML,iShares ESG MSCI USA Small-Cap ETF,2019-11-12
FIBR,iShares Edge U.S. Fixed Income Balanced Risk ETF,2019-11-12
IBMN,iShares iBonds Dec 2025 Term Muni Bond ETF,2019-11-12
IEDI,iShares Evolved U.S. Discretionary Spending ETF,2019-11-12
PNOV,Innovator S&P 500 Power Buffer ETF - November,2019-11-12
TBLU,Tortoise Global Water ESG Fund,2019-11-12
BNOV,Innovator S&P 500 Buffer ETF - November,2019-11-13
ESML,iShares ESG MSCI USA Small-Cap ETF,2019-11-13
FIBR,iShares Edge U.S. Fixed Income Balanced Risk ETF,2019-11-13
IBMN,iShares iBonds Dec 2025 Term Muni Bond ETF,2019-11-13
IEDI,iShares Evolved U.S. Discretionary Spending ETF,2019-11-13
OILK,ProShares K-1 Free Crude Oil Strategy ETF,2019-11-13
PNOV,Innovator S&P 500 Power Buffer ETF - November,2019-11-13
TBLU,Tortoise Global Water ESG Fund,2019-11-13
UNOV,Innovator S&P 500 Ultra Buffer ETF - November,2019-11-13
BNOV,Innovator S&P 500 Buffer ETF - November,2019-11-14
ESML,iShares ESG MSCI USA Small-Cap ETF,2019-11-14
FIBR,iShares Edge U.S. Fixed Income Balanced Risk ETF,2019-11-14
IBMN,iShares iBonds Dec 2025 Term Muni Bond ETF,2019-11-14
IEDI,iShares Evolved U.S. Discretionary Spending ETF,2019-11-14
OILK,ProShares K-1 Free Crude Oil Strategy ETF,2019-11-14
PNOV,Innovator S&P 500 Power Buffer ETF - November,2019-11-14
TBLU,Tortoise Global Water ESG Fund,2019-11-14
UNOV,Innovator S&P 500 Ultra Buffer ETF - November,2019-11-14
BNOV,Innovator S&P 500 Buffer ETF - November,2019-11-15
ESML,iShares ESG MSCI USA Small-Cap ETF,2019-11-15
FIBR,iShares Edge U.S. Fixed Income Balanced Risk ETF,2019-11-15
IBMN,iShares iBonds Dec 2025 Term Muni Bond ETF,2019-11-15
IEDI,iShares Evolved U.S. Discretionary Spending ETF,2019-11-15
OILK,ProShares K-1 Free Crude Oil Strategy ETF,2019-11-15
PBTP,Invesco PureBeta 0-5 Yr US TIPS ETF,2019-11-15
PNOV,Innovator S&P 500 Power Buffer ETF - November,2019-11-15
TOKE,Cambria Cannabis ETF,2019-11-15
UNOV,Innovator S&P 500 Ultra Buffer ETF - November,2019-11-15
BNOV,Innovator S&P 500 Buffer ETF - November,2019-11-18
ESML,iShares ESG MSCI USA Small-Cap ETF,2019-11-18
FIBR,iShares Edge U.S. Fixed Income Balanced Risk ETF,2019-11-18
IBMN,iShares iBonds Dec 2025 Term Muni Bond ETF,2019-11-18
IEDI,iShares Evolved U.S. Discretionary Spending ETF,2019-11-18
OILK,ProShares K-1 Free Crude Oil Strategy ETF,2019-11-18
PBTP,Invesco PureBeta 0-5 Yr US TIPS ETF,2019-11-18
PNOV,Innovator S&P 500 Power Buffer ETF - November,2019-11-18
TOKE,Cambria Cannabis ETF,2019-11-18
UNOV,Innovator S&P 500 Ultra Buffer ETF - November,2019-11-18
BAUG,Innovator S&P 500 Buffer ETF - August,2019-11-19
BNOV,Innovator S&P 500 Buffer ETF - November,2019-11-19
ESML,iShares ESG MSCI USA Small-Cap ETF,2019-11-19
FIBR,iShares Edge U.S. Fixed Income Balanced Risk ETF,2019-11-19
IBMN,iShares iBonds Dec 2025 Term Muni Bond ETF,2019-11-19
IEDI,iShares Evolved U.S. Discretionary Spending ETF,2019-11-19
OILK,ProShares K-1 Free Crude Oil Strategy ETF,2019-11-19
PBTP,Invesco PureBeta 0-5 Yr US TIPS ETF,2019-11-19
PNOV,Innovator S&P 500 Power Buffer ETF - November,2019-11-19
TOKE,Cambria Cannabis ETF,2019-11-19
UNOV,Innovator S&P 500 Ultra Buffer ETF - November,2019-11-19
BAUG,Innovator S&P 500 Buffer ETF - August,2019-11-20
BNOV,Innovator S&P 500 Buffer ETF - November,2019-11-20
ESML,iShares ESG MSCI USA Small-Cap ETF,2019-11-20
FIBR,iShares Edge U.S. Fixed Income Balanced Risk ETF,2019-11-20
IBMN,iShares iBonds Dec 2025 Term Muni Bond ETF,2019-11-20
IEDI,iShares Evolved U.S. Discretionary Spending ETF,2019-11-20
OILK,ProShares K-1 Free Crude Oil Strategy ETF,2019-11-20
PBTP,Invesco PureBeta 0-5 Yr US TIPS ETF,2019-11-20
PNOV,Innovator S&P 500 Power Buffer ETF - November,2019-11-20
TOKE,Cambria Cannabis ETF,2019-11-20
UNOV,Innovator S&P 500 Ultra Buffer ETF - November,2019-11-20
BAUG,Innovator S&P 500 Buffer ETF - August,2019-11-21
BNOV,Innovator S&P 500 Buffer ETF - November,2019-11-21
ESML,iShares ESG MSCI USA Small-Cap ETF,2019-11-21
FIBR,iShares Edge U.S. Fixed Income Balanced Risk ETF,2019-11-21
IBMN,iShares iBonds Dec 2025 Term Muni Bond ETF,2019-11-21
IEDI,iShares Evolved U.S. Discretionary Spending ETF,2019-11-21
OILK,ProShares K-1 Free Crude Oil Strategy ETF,2019-11-21
PBTP,Invesco PureBeta 0-5 Yr US TIPS ETF,2019-11-21
PNOV,Innovator S&P 500 Power Buffer ETF - November,2019-11-21
TOKE,Cambria Cannabis ETF,2019-11-21
UNOV,Innovator S&P 500 Ultra Buffer ETF - November,2019-11-21
BAUG,Innovator S&P 500 Buffer ETF - August,2019-11-22
BNOV,Innovator S&P 500 Buffer ETF - November,2019-11-22
ESML,iShares ESG MSCI USA Small-Cap ETF,2019-11-22
FIBR,iShares Edge U.S. Fixed Income Balanced Risk ETF,2019-11-22
IBMN,iShares iBonds Dec 2025 Term Muni Bond ETF,2019-11-22
IEDI,iShares Evolved U.S. Discretionary Spending ETF,2019-11-22
NURE,Nuveen Short-Term REIT ETF,2019-11-22
OILK,ProShares K-1 Free Crude Oil Strategy ETF,2019-11-22
PBTP,Invesco PureBeta 0-5 Yr US TIPS ETF,2019-11-22
PNOV,Innovator S&P 500 Power Buffer ETF - November,2019-11-22
TOKE,Cambria Cannabis ETF,2019-11-22
UNOV,Innovator S&P 500 Ultra Buffer ETF - November,2019-11-22
BAUG,Innovator S&P 500 Buffer ETF - August,2019-11-25
BNOV,Innovator S&P 500 Buffer ETF - November,2019-11-25
ESML,iShares ESG MSCI USA Small-Cap ETF,2019-11-25
FIBR,iShares Edge U.S. Fixed Income Balanced Risk ETF,2019-11-25
IBMN,iShares iBonds Dec 2025 Term Muni Bond ETF,2019-11-25
IEDI,iShares Evolved U.S. Discretionary Spending ETF,2019-11-25
NURE,Nuveen Short-Term REIT ETF,2019-11-25
OILK,ProShares K-1 Free Crude Oil Strategy ETF,2019-11-25
PNOV,Innovator S&P 500 Power Buffer ETF - November,2019-11-25
TOKE,Cambria Cannabis ETF,2019-11-25
UNOV,Innovator S&P 500 Ultra Buffer ETF - November,2019-11-25
BAUG,Innovator S&P 500 Buffer ETF - August,2019-11-26
BNOV,Innovator S&P 500 Buffer ETF - November,2019-11-26
ESML,iShares ESG MSCI USA Small-Cap ETF,2019-11-26
FIBR,iShares Edge U.S. Fixed Income Balanced Risk ETF,2019-11-26
IEDI,iShares Evolved U.S. Discretionary Spending ETF,2019-11-26
NURE,Nuveen Short-Term REIT ETF,2019-11-26
OILK,ProShares K-1 Free Crude Oil Strategy ETF,2019-11-26
PNOV,Innovator S&P 500 Power Buffer ETF - November,2019-11-26
TOKE,Cambria Cannabis ETF,2019-11-26
UNOV,Innovator S&P 500 Ultra Buffer ETF - November,2019-11-26
BAUG,Innovator S&P 500 Buffer ETF - August,2019-11-27
BNOV,Innovator S&P 500 Buffer ETF - November,2019-11-27
ESML,iShares ESG MSCI USA Small-Cap ETF,2019-11-27
FIBR,iShares Edge U.S. Fixed Income Balanced Risk ETF,2019-11-27
IEDI,iShares Evolved U.S. Discretionary Spending ETF,2019-11-27
NURE,Nuveen Short-Term REIT ETF,2019-11-27
OILK,ProShares K-1 Free Crude Oil Strategy ETF,2019-11-27
PNOV,Innovator S&P 500 Power Buffer ETF - November,2019-11-27
TOKE,Cambria Cannabis ETF,2019-11-27
UNOV,Innovator S&P 500 Ultra Buffer ETF - November,2019-11-27
BNOV,Innovator S&P 500 Buffer ETF - November,2019-11-29
ESML,iShares ESG MSCI USA Small-Cap ETF,2019-11-29
FIBR,iShares Edge U.S. Fixed Income Balanced Risk ETF,2019-11-29
FNOV,FT Cboe Vest U.S. Equity Buffer ETF - November,2019-11-29
IEDI,iShares Evolved U.S. Discretionary Spending ETF,2019-11-29
NURE,Nuveen Short-Term REIT ETF,2019-11-29
OILK,ProShares K-1 Free Crude Oil Strategy ETF,2019-11-29
PNOV,Innovator S&P 500 Power Buffer ETF - November,2019-11-29
UNOV,Innovator S&P 500 Ultra Buffer ETF - November,2019-11-29
BNOV,Innovator S&P 500 Buffer ETF - November,2019-12-02
FIBR,iShares Edge U.S. Fixed Income Balanced Risk ETF,2019-12-02
FNOV,FT Cboe Vest U.S. Equity Buffer ETF - November,2019-12-02
IEDI,iShares Evolved U.S. Discretionary Spending ETF,2019-12-02
NURE,Nuveen Short-Term REIT ETF,2019-12-02
OILK,ProShares K-1 Free Crude Oil Strategy ETF,2019-12-02
PNOV,Innovator S&P 500 Power Buffer ETF - November,2019-12-02
UNOV,Innovator S&P 500 Ultra Buffer ETF - November,2019-12-02
BNOV,Innovator S&P 500 Buffer ETF - November,2019-12-03
FIBR,iShares Edge U.S. Fixed Income Balanced Risk ETF,2019-12-03
FNOV,FT Cboe Vest U.S. Equity Buffer ETF - November,2019-12-03
IEDI,iShares Evolved U.S. Discretionary Spending ETF,2019-12-03
NURE,Nuveen Short-Term REIT ETF,2019-12-03
OILK,ProShares K-1 Free Crude Oil Strategy ETF,2019-12-03
PNOV,Innovator S&P 500 Power Buffer ETF - November,2019-12-03
UNOV,Innovator S&P 500 Ultra Buffer ETF - November,2019-12-03
BNOV,Innovator S&P 500 Buffer ETF - November,2019-12-04
FIBR,iShares Edge U.S. Fixed Income Balanced Risk ETF,2019-12-04
FNOV,FT Cboe Vest U.S. Equity Buffer ETF - November,2019-12-04
IEDI,iShares Evolved U.S. Discretionary Spending ETF,2019-12-04
NURE,Nuveen Short-Term REIT ETF,2019-12-04
OILK,ProShares K-1 Free Crude Oil Strategy ETF,2019-12-04
PNOV,Innovator S&P 500 Power Buffer ETF - November,2019-12-04
UNOV,Innovator S&P 500 Ultra Buffer ETF - November,2019-12-04
FIBR,iShares Edge U.S. Fixed Income Balanced Risk ETF,2019-12-05
FNOV,FT Cboe Vest U.S. Equity Buffer ETF - November,2019-12-05
IEDI,iShares Evolved U.S. Discretionary Spending ETF,2019-12-05
NURE,Nuveen Short-Term REIT ETF,2019-12-05
OILK,ProShares K-1 Free Crude Oil Strategy ETF,2019-12-05
PNOV,Innovator S&P 500 Power Buffer ETF - November,2019-12-05
FNOV,FT Cboe Vest U.S. Equity Buffer ETF - November,2019-12-06
IEDI,iShares Evolved U.S. Discretionary Spending ETF,2019-12-06
NURE,Nuveen Short-Term REIT ETF,2019-12-06
OILK,ProShares K-1 Free Crude Oil Strategy ETF,2019-12-06
PNOV,Innovator S&P 500 Power Buffer ETF - November,2019-12-06
TPAY,Tortoise Digital Payments Infrastructure Fund,2019-12-06
FNOV,FT Cboe Vest U.S. Equity Buffer ETF - November,2019-12-09
IEDI,iShares Evolved U.S. Discretionary Spending ETF,2019-12-09
NURE,Nuveen Short-Term REIT ETF,2019-12-09
OILK,ProShares K-1 Free Crude Oil Strategy ETF,2019-12-09
PNOV,Innovator S&P 500 Power Buffer ETF - November,2019-12-09
TFIV,Global X TargetIncome 5 ETF,2019-12-09
TPAY,Tortoise Digital Payments Infrastructure Fund,2019-12-09
BDEC,Innovator S&P 500 Buffer ETF - December,2019-12-10
FNOV,FT Cboe Vest U.S. Equity Buffer ETF - November,2019-12-10
IEDI,iShares Evolved U.S. Discretionary Spending ETF,2019-12-10
NURE,Nuveen Short-Term REIT ETF,2019-12-10
OILK,ProShares K-1 Free Crude Oil Strategy ETF,2019-12-10
PNOV,Innovator S&P 500 Power Buffer ETF - November,2019-12-10
TFIV,Global X TargetIncome 5 ETF,2019-12-10
TPAY,Tortoise Digital Payments Infrastructure Fund,2019-12-10
UDEC,Innovator S&P 500 Ultra Buffer ETF - December,2019-12-10
BDEC,Innovator S&P 500 Buffer ETF - December,2019-12-11
FNOV,FT Cboe Vest U.S. Equity Buffer ETF - November,2019-12-11
IEDI,iShares Evolved U.S. Discretionary Spending ETF,2019-12-11
NURE,Nuveen Short-Term REIT ETF,2019-12-11
OILK,ProShares K-1 Free Crude Oil Strategy ETF,2019-12-11
PDEC,Innovator S&P 500 Power Buffer ETF - December,2019-12-11
PNOV,Innovator S&P 500 Power Buffer ETF - November,2019-12-11
TFIV,Global X TargetIncome 5 ETF,2019-12-11
TPAY,Tortoise Digital Payments Infrastructure Fund,2019-12-11
UDEC,Innovator S&P 500 Ultra Buffer ETF - December,2019-12-11
BDEC,Innovator S&P 500 Buffer ETF - December,2019-12-12
FNOV,FT Cboe Vest U.S. Equity Buffer ETF - November,2019-12-12
IEDI,iShares Evolved U.S. Discretionary Spending ETF,2019-12-12
OILK,ProShares K-1 Free Crude Oil Strategy ETF,2019-12-12
PDEC,Innovator S&P 500 Power Buffer ETF - December,2019-12-12
PNOV,Innovator S&P 500 Power Buffer ETF - November,2019-12-12
TFIV,Global X TargetIncome 5 ETF,2019-12-12
TPAY,Tortoise Digital Payments Infrastructure Fund,2019-12-12
UDEC,Innovator S&P 500 Ultra Buffer ETF - December,2019-12-12
BDEC,Innovator S&P 500 Buffer ETF - December,2019-12-13
FNOV,FT Cboe Vest U.S. Equity Buffer ETF - November,2019-12-13
IEDI,iShares Evolved U.S. Discretionary Spending ETF,2019-12-13
OILK,ProShares K-1 Free Crude Oil Strategy ETF,2019-12-13
PDEC,Innovator S&P 500 Power Buffer ETF - December,2019-12-13
PNOV,Innovator S&P 500 Power Buffer ETF - November,2019-12-13
TFIV,Global X TargetIncome 5 ETF,2019-12-13
TPAY,Tortoise Digital Payments Infrastructure Fund,2019-12-13
UDEC,Innovator S&P 500 Ultra Buffer ETF - December,2019-12-13
BDEC,Innovator S&P 500 Buffer ETF - December,2019-12-16
FNOV,FT Cboe Vest U.S. Equity Buffer ETF - November,2019-12-16
IEDI,iShares Evolved U.S. Discretionary Spending ETF,2019-12-16
PDEC,Innovator S&P 500 Power Buffer ETF - December,2019-12-16
PNOV,Innovator S&P 500 Power Buffer ETF - November,2019-12-16
TFIV,Global X TargetIncome 5 ETF,2019-12-16
TPAY,Tortoise Digital Payments Infrastructure Fund,2019-12-16
UDEC,Innovator S&P 500 Ultra Buffer ETF - December,2019-12-16
BDEC,Innovator S&P 500 Buffer ETF - December,2019-12-17
FNOV,FT Cboe Vest U.S. Equity Buffer ETF - November,2019-12-17
IEDI,iShares Evolved U.S. Discretionary Spending ETF,2019-12-17
PDEC,Innovator S&P 500 Power Buffer ETF - December,2019-12-17
PNOV,Innovator S&P 500 Power Buffer ETF - November,2019-12-17
TPAY,Tortoise Digital Payments Infrastructure Fund,2019-12-17
UDEC,Innovator S&P 500 Ultra Buffer ETF - December,2019-12-17
BDEC,Innovator S&P 500 Buffer ETF - December,2019-12-18
EFAD,ProShares MSCI EAFE Dividend Growers ETF,2019-12-18
IEDI,iShares Evolved U.S. Discretionary Spending ETF,2019-12-18
PDEC,Innovator S&P 500 Power Buffer ETF - December,2019-12-18
PNOV,Innovator S&P 500 Power Buffer ETF - November,2019-12-18
TPAY,Tortoise Digital Payments Infrastructure Fund,2019-12-18
UDEC,Innovator S&P 500 Ultra Buffer ETF - December,2019-12-18
BDEC,Innovator S&P 500 Buffer ETF - December,2019-12-20
EFAD,ProShares MSCI EAFE Dividend Growers ETF,2019-12-20
