Symbol,Security Name,Market Category,Reg SHO Threshold Flag,Rule 3210,Filler,Date,ID
BYND,BEYOND MEAT INC COM (DE),Q,Y,N,,20191004,20191004230028
JFIN,JIAYIN GROUP INC SPONSORED ADS,G,Y,N,,20191004,20191004230028
MDCO,MEDICINES COMPANY (THE),Q,Y,N,,20191004,20191004230028
PNNTG,PENNANTPARK INVT CORP NTS DTD0,Q,Y,N,,20191004,20191004230028
PPH,VANECK VECTORS TR PHARMACEUTIC,G,Y,N,,20191004,20191004230028
PSTV,PLUS THERAPEUTICS INC COM NEW,S,Y,N,,20191004,20191004230028
RNMC,FIRST TR VI MID CAP US EQUITY,G,Y,N,,20191004,20191004230028
TMDI,TITAN MED INC (CANADA),S,Y,N,,20191004,20191004230028
TUR,ISHARES MSCI TURKEY ETF,G,Y,N,,20191004,20191004230028
TVIX,CREDIT SUISSE AG NASSAU BRH VE,G,Y,N,,20191004,20191004230028
BYND,BEYOND MEAT INC COM (DE),Q,Y,N,,20191007,20191007230030
JFIN,JIAYIN GROUP INC SPONSORED ADS,G,Y,N,,20191007,20191007230030
LK,LUCKIN COFFEE INC ADR (CYM),Q,Y,N,,20191007,20191007230030
MDCO,MEDICINES COMPANY (THE),Q,Y,N,,20191007,20191007230030
PNNTG,PENNANTPARK INVT CORP NTS DTD0,Q,Y,N,,20191007,20191007230030
TMDI,TITAN MED INC (CANADA),S,Y,N,,20191007,20191007230030
TUR,ISHARES MSCI TURKEY ETF,G,Y,N,,20191007,20191007230030
TVIX,CREDIT SUISSE AG NASSAU BRH VE,G,Y,N,,20191007,20191007230030
BYND,BEYOND MEAT INC COM (DE),Q,Y,N,,20191008,20191008230033
JFIN,JIAYIN GROUP INC SPONSORED ADS,G,Y,N,,20191008,20191008230033
LK,LUCKIN COFFEE INC ADR (CYM),Q,Y,N,,20191008,20191008230033
MDCO,MEDICINES COMPANY (THE),Q,Y,N,,20191008,20191008230033
PNNTG,PENNANTPARK INVT CORP NTS DTD0,Q,Y,N,,20191008,20191008230033
SFIX,STITCH FIX INC  CL A,Q,Y,N,,20191008,20191008230033
TMDI,TITAN MED INC (CANADA),S,Y,N,,20191008,20191008230033
TUR,ISHARES MSCI TURKEY ETF,G,Y,N,,20191008,20191008230033
TVIX,CREDIT SUISSE AG NASSAU BRH VE,G,Y,N,,20191008,20191008230033
BYND,BEYOND MEAT INC COM (DE),Q,Y,N,,20191009,20191009230028
ENLV,ENLIVEX THERAPEUTICS LTD COM O,S,Y,N,,20191009,20191009230028
JFIN,JIAYIN GROUP INC SPONSORED ADS,G,Y,N,,20191009,20191009230028
LDSF,FIRST TR ETF VIII LOW DURATION,G,Y,N,,20191009,20191009230028
LK,LUCKIN COFFEE INC ADR (CYM),Q,Y,N,,20191009,20191009230028
MDCO,MEDICINES COMPANY (THE),Q,Y,N,,20191009,20191009230028
PNNTG,PENNANTPARK INVT CORP NTS DTD0,Q,Y,N,,20191009,20191009230028
SFIX,STITCH FIX INC  CL A,Q,Y,N,,20191009,20191009230028
TMDI,TITAN MED INC (CANADA),S,Y,N,,20191009,20191009230028
TVIX,CREDIT SUISSE AG NASSAU BRH VE,G,Y,N,,20191009,20191009230028
BYND,BEYOND MEAT INC COM (DE),Q,Y,N,,20191010,20191010230028
ENLV,ENLIVEX THERAPEUTICS LTD COM O,S,Y,N,,20191010,20191010230028
HLAL,LISTED FDS TR WAHED FTSE USA S,G,Y,N,,20191010,20191010230028
JFIN,JIAYIN GROUP INC SPONSORED ADS,G,Y,N,,20191010,20191010230028
LDSF,FIRST TR ETF VIII LOW DURATION,G,Y,N,,20191010,20191010230028
LK,LUCKIN COFFEE INC ADR (CYM),Q,Y,N,,20191010,20191010230028
PNNTG,PENNANTPARK INVT CORP NTS DTD0,Q,Y,N,,20191010,20191010230028
SFET,SAFE T GROUP LTD (ISRAEL),S,Y,N,,20191010,20191010230028
SFIX,STITCH FIX INC  CL A,Q,Y,N,,20191010,20191010230028
TMDI,TITAN MED INC (CANADA),S,Y,N,,20191010,20191010230028
TTNP,TITAN PHARMACEUTICALS INC DEL,S,Y,N,,20191010,20191010230028
TVIX,CREDIT SUISSE AG NASSAU BRH VE,G,Y,N,,20191010,20191010230028
BYND,BEYOND MEAT INC COM (DE),Q,Y,N,,20191011,20191011230029
ENLV,ENLIVEX THERAPEUTICS LTD COM O,S,Y,N,,20191011,20191011230029
HLAL,LISTED FDS TR WAHED FTSE USA S,G,Y,N,,20191011,20191011230029
JFIN,JIAYIN GROUP INC SPONSORED ADS,G,Y,N,,20191011,20191011230029
LDSF,FIRST TR ETF VIII LOW DURATION,G,Y,N,,20191011,20191011230029
LK,LUCKIN COFFEE INC ADR (CYM),Q,Y,N,,20191011,20191011230029
PDEV,PRIN EXCH-TRADED FDS INTL MULT,G,Y,N,,20191011,20191011230029
PNNTG,PENNANTPARK INVT CORP NTS DTD0,Q,Y,N,,20191011,20191011230029
SFET,SAFE T GROUP LTD (ISRAEL),S,Y,N,,20191011,20191011230029
SFIX,STITCH FIX INC  CL A,Q,Y,N,,20191011,20191011230029
TMDI,TITAN MED INC (CANADA),S,Y,N,,20191011,20191011230029
TTNP,TITAN PHARMACEUTICALS INC DEL,S,Y,N,,20191011,20191011230029
TVIX,CREDIT SUISSE AG NASSAU BRH VE,G,Y,N,,20191011,20191011230029
BYND,BEYOND MEAT INC COM (DE),Q,Y,N,,20191014,20191014230029
ENLV,ENLIVEX THERAPEUTICS LTD COM O,S,Y,N,,20191014,20191014230029
HLAL,LISTED FDS TR WAHED FTSE USA S,G,Y,N,,20191014,20191014230029
JFIN,JIAYIN GROUP INC SPONSORED ADS,G,Y,N,,20191014,20191014230029
LDSF,FIRST TR ETF VIII LOW DURATION,G,Y,N,,20191014,20191014230029
LK,LUCKIN COFFEE INC ADR (CYM),Q,Y,N,,20191014,20191014230029
PDEV,PRIN EXCH-TRADED FDS INTL MULT,G,Y,N,,20191014,20191014230029
PNNTG,PENNANTPARK INVT CORP NTS DTD0,Q,Y,N,,20191014,20191014230029
SFET,SAFE T GROUP LTD (ISRAEL),S,Y,N,,20191014,20191014230029
SFIX,STITCH FIX INC  CL A,Q,Y,N,,20191014,20191014230029
TMDI,TITAN MED INC (CANADA),S,Y,N,,20191014,20191014230029
TTNP,TITAN PHARMACEUTICALS INC DEL,S,Y,N,,20191014,20191014230029
TVIX,CREDIT SUISSE AG NASSAU BRH VE,G,Y,N,,20191014,20191014230029
BYND,BEYOND MEAT INC COM (DE),Q,Y,N,,20191015,20191015230030
ENLV,ENLIVEX THERAPEUTICS LTD COM O,S,Y,N,,20191015,20191015230030
HLAL,LISTED FDS TR WAHED FTSE USA S,G,Y,N,,20191015,20191015230030
JFIN,JIAYIN GROUP INC SPONSORED ADS,G,Y,N,,20191015,20191015230030
LDSF,FIRST TR ETF VIII LOW DURATION,G,Y,N,,20191015,20191015230030
LK,LUCKIN COFFEE INC ADR (CYM),Q,Y,N,,20191015,20191015230030
PDEV,PRIN EXCH-TRADED FDS INTL MULT,G,Y,N,,20191015,20191015230030
SFET,SAFE T GROUP LTD (ISRAEL),S,Y,N,,20191015,20191015230030
SFIX,STITCH FIX INC  CL A,Q,Y,N,,20191015,20191015230030
TMDI,TITAN MED INC (CANADA),S,Y,N,,20191015,20191015230030
TTNP,TITAN PHARMACEUTICALS INC DEL,S,Y,N,,20191015,20191015230030
TVIX,CREDIT SUISSE AG NASSAU BRH VE,G,Y,N,,20191015,20191015230030
BYND,BEYOND MEAT INC COM (DE),Q,Y,N,,20191016,20191016230031
ENLV,ENLIVEX THERAPEUTICS LTD COM O,S,Y,N,,20191016,20191016230031
HLAL,LISTED FDS TR WAHED FTSE USA S,G,Y,N,,20191016,20191016230031
JFIN,JIAYIN GROUP INC SPONSORED ADS,G,Y,N,,20191016,20191016230031
LDSF,FIRST TR ETF VIII LOW DURATION,G,Y,N,,20191016,20191016230031
LK,LUCKIN COFFEE INC ADR (CYM),Q,Y,N,,20191016,20191016230031
MTFB,MOTIF BIO PLC SPONSORED ADR,S,Y,N,,20191016,20191016230031
PDEV,PRIN EXCH-TRADED FDS INTL MULT,G,Y,N,,20191016,20191016230031
SFET,SAFE T GROUP LTD (ISRAEL),S,Y,N,,20191016,20191016230031
SFIX,STITCH FIX INC  CL A,Q,Y,N,,20191016,20191016230031
TMDI,TITAN MED INC (CANADA),S,Y,N,,20191016,20191016230031
TTNP,TITAN PHARMACEUTICALS INC DEL,S,Y,N,,20191016,20191016230031
TVIX,CREDIT SUISSE AG NASSAU BRH VE,G,Y,N,,20191016,20191016230031
VXRT,VAXART INC COM NEW (DE),S,Y,N,,20191016,20191016230031
BYND,BEYOND MEAT INC COM (DE),Q,Y,N,,20191017,20191017230028
ENLV,ENLIVEX THERAPEUTICS LTD COM O,S,Y,N,,20191017,20191017230028
HLAL,LISTED FDS TR WAHED FTSE USA S,G,Y,N,,20191017,20191017230028
JFIN,JIAYIN GROUP INC SPONSORED ADS,G,Y,N,,20191017,20191017230028
LDSF,FIRST TR ETF VIII LOW DURATION,G,Y,N,,20191017,20191017230028
LK,LUCKIN COFFEE INC ADR (CYM),Q,Y,N,,20191017,20191017230028
MTFB,MOTIF BIO PLC SPONSORED ADR,S,Y,N,,20191017,20191017230028
NAKD,NAKED BRAND GROUP LTD ORD SHS,S,Y,N,,20191017,20191017230028
PDEV,PRIN EXCH-TRADED FDS INTL MULT,G,Y,N,,20191017,20191017230028
SFET,SAFE T GROUP LTD (ISRAEL),S,Y,N,,20191017,20191017230028
TMDI,TITAN MED INC (CANADA),S,Y,N,,20191017,20191017230028
TTNP,TITAN PHARMACEUTICALS INC DEL,S,Y,N,,20191017,20191017230028
TVIX,CREDIT SUISSE AG NASSAU BRH VE,G,Y,N,,20191017,20191017230028
VXRT,VAXART INC COM NEW (DE),S,Y,N,,20191017,20191017230028
BYND,BEYOND MEAT INC COM (DE),Q,Y,N,,20191018,20191018230030
ENLV,ENLIVEX THERAPEUTICS LTD COM O,S,Y,N,,20191018,20191018230030
HLAL,LISTED FDS TR WAHED FTSE USA S,G,Y,N,,20191018,20191018230030
LDSF,FIRST TR ETF VIII LOW DURATION,G,Y,N,,20191018,20191018230030
LK,LUCKIN COFFEE INC ADR (CYM),Q,Y,N,,20191018,20191018230030
MTFB,MOTIF BIO PLC SPONSORED ADR,S,Y,N,,20191018,20191018230030
NAKD,NAKED BRAND GROUP LTD ORD SHS,S,Y,N,,20191018,20191018230030
OCGN,OCUGEN INC COM,S,Y,N,,20191018,20191018230030
PDEV,PRIN EXCH-TRADED FDS INTL MULT,G,Y,N,,20191018,20191018230030
SFET,SAFE T GROUP LTD (ISRAEL),S,Y,N,,20191018,20191018230030
TMDI,TITAN MED INC (CANADA),S,Y,N,,20191018,20191018230030
TTNP,TITAN PHARMACEUTICALS INC DEL,S,Y,N,,20191018,20191018230030
TVIX,CREDIT SUISSE AG NASSAU BRH VE,G,Y,N,,20191018,20191018230030
VXRT,VAXART INC COM NEW (DE),S,Y,N,,20191018,20191018230030
ZM,ZOOM VIDEO COMMUNICATIONS INC,Q,Y,N,,20191018,20191018230030
BNTX,BIONTECH SE ADS (DEU),Q,Y,N,,20191021,20191021230029
BYND,BEYOND MEAT INC COM (DE),Q,Y,N,,20191021,20191021230029
ENLV,ENLIVEX THERAPEUTICS LTD COM O,S,Y,N,,20191021,20191021230029
FMK,FIRST TRUST MEGA CAP ALPHADEX,G,Y,N,,20191021,20191021230029
HLAL,LISTED FDS TR WAHED FTSE USA S,G,Y,N,,20191021,20191021230029
LDSF,FIRST TR ETF VIII LOW DURATION,G,Y,N,,20191021,20191021230029
LK,LUCKIN COFFEE INC ADR (CYM),Q,Y,N,,20191021,20191021230029
MTFB,MOTIF BIO PLC SPONSORED ADR,S,Y,N,,20191021,20191021230029
NAKD,NAKED BRAND GROUP LTD ORD SHS,S,Y,N,,20191021,20191021230029
OCGN,OCUGEN INC COM,S,Y,N,,20191021,20191021230029
PDEV,PRIN EXCH-TRADED FDS INTL MULT,G,Y,N,,20191021,20191021230029
POTX,GLOBAL X FDS GLOBAL X CANNABIS,G,Y,N,,20191021,20191021230029
SFET,SAFE T GROUP LTD (ISRAEL),S,Y,N,,20191021,20191021230029
TMDI,TITAN MED INC (CANADA),S,Y,N,,20191021,20191021230029
TTNP,TITAN PHARMACEUTICALS INC DEL,S,Y,N,,20191021,20191021230029
TVIX,CREDIT SUISSE AG NASSAU BRH VE,G,Y,N,,20191021,20191021230029
VXRT,VAXART INC COM NEW (DE),S,Y,N,,20191021,20191021230029
ZM,ZOOM VIDEO COMMUNICATIONS INC,Q,Y,N,,20191021,20191021230029
BIMI,NF ENERGY SAVING CORPORATION.,S,Y,N,,20191022,20191022230029
BNTX,BIONTECH SE ADS (DEU),Q,Y,N,,20191022,20191022230029
ENLV,ENLIVEX THERAPEUTICS LTD COM O,S,Y,N,,20191022,20191022230029
FDUSG,FIDUS INVESTMENT CORPORATION 5,Q,Y,N,,20191022,20191022230029
FMK,FIRST TRUST MEGA CAP ALPHADEX,G,Y,N,,20191022,20191022230029
HBT,HBT FINL INC.COM,Q,Y,N,,20191022,20191022230029
LDSF,FIRST TR ETF VIII LOW DURATION,G,Y,N,,20191022,20191022230029
LK,LUCKIN COFFEE INC ADR (CYM),Q,Y,N,,20191022,20191022230029
MTFB,MOTIF BIO PLC SPONSORED ADR,S,Y,N,,20191022,20191022230029
NAKD,NAKED BRAND GROUP LTD ORD SHS,S,Y,N,,20191022,20191022230029
OCGN,OCUGEN INC COM,S,Y,N,,20191022,20191022230029
PDEV,PRIN EXCH-TRADED FDS INTL MULT,G,Y,N,,20191022,20191022230029
POTX,GLOBAL X FDS GLOBAL X CANNABIS,G,Y,N,,20191022,20191022230029
SFET,SAFE T GROUP LTD (ISRAEL),S,Y,N,,20191022,20191022230029
TMDI,TITAN MED INC (CANADA),S,Y,N,,20191022,20191022230029
TTNP,TITAN PHARMACEUTICALS INC DEL,S,Y,N,,20191022,20191022230029
TVIX,CREDIT SUISSE AG NASSAU BRH VE,G,Y,N,,20191022,20191022230029
VXRT,VAXART INC COM NEW (DE),S,Y,N,,20191022,20191022230029
ZM,ZOOM VIDEO COMMUNICATIONS INC,Q,Y,N,,20191022,20191022230029
BIMI,NF ENERGY SAVING CORPORATION.,S,Y,N,,20191023,20191023230029
BNTX,BIONTECH SE ADS (DEU),Q,Y,N,,20191023,20191023230029
FDUSG,FIDUS INVESTMENT CORPORATION 5,Q,Y,N,,20191023,20191023230029
FMK,FIRST TRUST MEGA CAP ALPHADEX,G,Y,N,,20191023,20191023230029
HBT,HBT FINL INC.COM,Q,Y,N,,20191023,20191023230029
LK,LUCKIN COFFEE INC ADR (CYM),Q,Y,N,,20191023,20191023230029
MTFB,MOTIF BIO PLC SPONSORED ADR,S,Y,N,,20191023,20191023230029
NAKD,NAKED BRAND GROUP LTD ORD SHS,S,Y,N,,20191023,20191023230029
OCGN,OCUGEN INC COM,S,Y,N,,20191023,20191023230029
PDEV,PRIN EXCH-TRADED FDS INTL MULT,G,Y,N,,20191023,20191023230029
POTX,GLOBAL X FDS GLOBAL X CANNABIS,G,Y,N,,20191023,20191023230029
SFET,SAFE T GROUP LTD (ISRAEL),S,Y,N,,20191023,20191023230029
TMDI,TITAN MED INC (CANADA),S,Y,N,,20191023,20191023230029
TTNP,TITAN PHARMACEUTICALS INC DEL,S,Y,N,,20191023,20191023230029
TVIX,CREDIT SUISSE AG NASSAU BRH VE,G,Y,N,,20191023,20191023230029
VXRT,VAXART INC COM NEW (DE),S,Y,N,,20191023,20191023230029
ZM,ZOOM VIDEO COMMUNICATIONS INC,Q,Y,N,,20191023,20191023230029
BIMI,NF ENERGY SAVING CORPORATION.,S,Y,N,,20191024,20191024230029
BNGO,BIONANO GENOMICS INC COM,S,Y,N,,20191024,20191024230029
BNTX,BIONTECH SE ADS (DEU),Q,Y,N,,20191024,20191024230029
FDUSG,FIDUS INVESTMENT CORPORATION 5,Q,Y,N,,20191024,20191024230029
FMK,FIRST TRUST MEGA CAP ALPHADEX,G,Y,N,,20191024,20191024230029
HBT,HBT FINL INC.COM,Q,Y,N,,20191024,20191024230029
LK,LUCKIN COFFEE INC ADR (CYM),Q,Y,N,,20191024,20191024230029
MTFB,MOTIF BIO PLC SPONSORED ADR,S,Y,N,,20191024,20191024230029
OCGN,OCUGEN INC COM,S,Y,N,,20191024,20191024230029
PDEV,PRIN EXCH-TRADED FDS INTL MULT,G,Y,N,,20191024,20191024230029
POTX,GLOBAL X FDS GLOBAL X CANNABIS,G,Y,N,,20191024,20191024230029
SFET,SAFE T GROUP LTD (ISRAEL),S,Y,N,,20191024,20191024230029
TMDI,TITAN MED INC (CANADA),S,Y,N,,20191024,20191024230029
TTNP,TITAN PHARMACEUTICALS INC DEL,S,Y,N,,20191024,20191024230029
TVIX,CREDIT SUISSE AG NASSAU BRH VE,G,Y,N,,20191024,20191024230029
VXRT,VAXART INC COM NEW (DE),S,Y,N,,20191024,20191024230029
ZM,ZOOM VIDEO COMMUNICATIONS INC,Q,Y,N,,20191024,20191024230029
BIMI,NF ENERGY SAVING CORPORATION.,S,Y,N,,20191025,20191025230029
BNGO,BIONANO GENOMICS INC COM,S,Y,N,,20191025,20191025230029
BNTX,BIONTECH SE ADS (DEU),Q,Y,N,,20191025,20191025230029
DALI,FIRST TR ETF VI DORSEYWRIGHT D,G,Y,N,,20191025,20191025230029
FDUSG,FIDUS INVESTMENT CORPORATION 5,Q,Y,N,,20191025,20191025230029
FMK,FIRST TRUST MEGA CAP ALPHADEX,G,Y,N,,20191025,20191025230029
HBT,HBT FINL INC.COM,Q,Y,N,,20191025,20191025230029
LK,LUCKIN COFFEE INC ADR (CYM),Q,Y,N,,20191025,20191025230029
MTFB,MOTIF BIO PLC SPONSORED ADR,S,Y,N,,20191025,20191025230029
OCGN,OCUGEN INC COM,S,Y,N,,20191025,20191025230029
OPGN,OPGEN INC COM PAR $0.01(DE),S,Y,N,,20191025,20191025230029
PDEV,PRIN EXCH-TRADED FDS INTL MULT,G,Y,N,,20191025,20191025230029
POTX,GLOBAL X FDS GLOBAL X CANNABIS,G,Y,N,,20191025,20191025230029
TMDI,TITAN MED INC (CANADA),S,Y,N,,20191025,20191025230029
TTNP,TITAN PHARMACEUTICALS INC DEL,S,Y,N,,20191025,20191025230029
TVIX,CREDIT SUISSE AG NASSAU BRH VE,G,Y,N,,20191025,20191025230029
VXRT,VAXART INC COM NEW (DE),S,Y,N,,20191025,20191025230029
ZM,ZOOM VIDEO COMMUNICATIONS INC,Q,Y,N,,20191025,20191025230029
BIMI,NF ENERGY SAVING CORPORATION.,S,Y,N,,20191028,20191028230029
BNGO,BIONANO GENOMICS INC COM,S,Y,N,,20191028,20191028230029
BNTX,BIONTECH SE ADS (DEU),Q,Y,N,,20191028,20191028230029
DALI,FIRST TR ETF VI DORSEYWRIGHT D,G,Y,N,,20191028,20191028230029
FDUSG,FIDUS INVESTMENT CORPORATION 5,Q,Y,N,,20191028,20191028230029
FMK,FIRST TRUST MEGA CAP ALPHADEX,G,Y,N,,20191028,20191028230029
HBT,HBT FINL INC.COM,Q,Y,N,,20191028,20191028230029
LK,LUCKIN COFFEE INC ADR (CYM),Q,Y,N,,20191028,20191028230029
MTFB,MOTIF BIO PLC SPONSORED ADR,S,Y,N,,20191028,20191028230029
OCGN,OCUGEN INC COM,S,Y,N,,20191028,20191028230029
OFSSI,OFS CAP CORP NT,Q,Y,N,,20191028,20191028230029
OPGN,OPGEN INC COM PAR $0.01(DE),S,Y,N,,20191028,20191028230029
OVID,OVID THERAPEUTICS INC,Q,Y,N,,20191028,20191028230029
PDEV,PRIN EXCH-TRADED FDS INTL MULT,G,Y,N,,20191028,20191028230029
TMDI,TITAN MED INC (CANADA),S,Y,N,,20191028,20191028230029
TTNP,TITAN PHARMACEUTICALS INC DEL,S,Y,N,,20191028,20191028230029
TVIX,CREDIT SUISSE AG NASSAU BRH VE,G,Y,N,,20191028,20191028230029
ZM,ZOOM VIDEO COMMUNICATIONS INC,Q,Y,N,,20191028,20191028230029
BNGO,BIONANO GENOMICS INC COM,S,Y,N,,20191029,20191029230030
BNTX,BIONTECH SE ADS (DEU),Q,Y,N,,20191029,20191029230030
DALI,FIRST TR ETF VI DORSEYWRIGHT D,G,Y,N,,20191029,20191029230030
FDUSG,FIDUS INVESTMENT CORPORATION 5,Q,Y,N,,20191029,20191029230030
FMK,FIRST TRUST MEGA CAP ALPHADEX,G,Y,N,,20191029,20191029230030
FTHI,FIRST TRUST EXCHANGE TRADED FD,G,Y,N,,20191029,20191029230030
HBT,HBT FINL INC.COM,Q,Y,N,,20191029,20191029230030
LK,LUCKIN COFFEE INC ADR (CYM),Q,Y,N,,20191029,20191029230030
MTFB,MOTIF BIO PLC SPONSORED ADR,S,Y,N,,20191029,20191029230030
OCGN,OCUGEN INC COM,S,Y,N,,20191029,20191029230030
OFSSI,OFS CAP CORP NT,Q,Y,N,,20191029,20191029230030
OPGN,OPGEN INC COM PAR $0.01(DE),S,Y,N,,20191029,20191029230030
OVID,OVID THERAPEUTICS INC,Q,Y,N,,20191029,20191029230030
PDEV,PRIN EXCH-TRADED FDS INTL MULT,G,Y,N,,20191029,20191029230030
TMDI,TITAN MED INC (CANADA),S,Y,N,,20191029,20191029230030
TTNP,TITAN PHARMACEUTICALS INC DEL,S,Y,N,,20191029,20191029230030
TVIX,CREDIT SUISSE AG NASSAU BRH VE,G,Y,N,,20191029,20191029230030
ZM,ZOOM VIDEO COMMUNICATIONS INC,Q,Y,N,,20191029,20191029230030
BNGO,BIONANO GENOMICS INC COM,S,Y,N,,20191030,20191030230029
BNTX,BIONTECH SE ADS (DEU),Q,Y,N,,20191030,20191030230029
BYND,BEYOND MEAT INC COM (DE),Q,Y,N,,20191030,20191030230029
DALI,FIRST TR ETF VI DORSEYWRIGHT D,G,Y,N,,20191030,20191030230029
FDUSG,FIDUS INVESTMENT CORPORATION 5,Q,Y,N,,20191030,20191030230029
FMK,FIRST TRUST MEGA CAP ALPHADEX,G,Y,N,,20191030,20191030230029
FTHI,FIRST TRUST EXCHANGE TRADED FD,G,Y,N,,20191030,20191030230029
HBT,HBT FINL INC.COM,Q,Y,N,,20191030,20191030230029
JFU,9F INC SPONSORED ADS (CYM),G,Y,N,,20191030,20191030230029
LK,LUCKIN COFFEE INC ADR (CYM),Q,Y,N,,20191030,20191030230029
MTFB,MOTIF BIO PLC SPONSORED ADR,S,Y,N,,20191030,20191030230029
NNDM,NANO DIMENSION LTD SPONSORED A,S,Y,N,,20191030,20191030230029
OCGN,OCUGEN INC COM,S,Y,N,,20191030,20191030230029
OFSSI,OFS CAP CORP NT,Q,Y,N,,20191030,20191030230029
OPGN,OPGEN INC COM PAR $0.01(DE),S,Y,N,,20191030,20191030230029
OVID,OVID THERAPEUTICS INC,Q,Y,N,,20191030,20191030230029
PDEV,PRIN EXCH-TRADED FDS INTL MULT,G,Y,N,,20191030,20191030230029
TMDI,TITAN MED INC (CANADA),S,Y,N,,20191030,20191030230029
TROV,TROVAGENE INC COM PAR $0.0001,S,Y,N,,20191030,20191030230029
TVIX,CREDIT SUISSE AG NASSAU BRH VE,G,Y,N,,20191030,20191030230029
ZM,ZOOM VIDEO COMMUNICATIONS INC,Q,Y,N,,20191030,20191030230029
APOP,CELLECT BIOTECHNOLOGY LTD SPON,S,Y,N,,20191031,20191031230030
AWSM,COOL HLDGS INC COM STK (MD),S,Y,N,,20191031,20191031230030
BNGO,BIONANO GENOMICS INC COM,S,Y,N,,20191031,20191031230030
BYND,BEYOND MEAT INC COM (DE),Q,Y,N,,20191031,20191031230030
DALI,FIRST TR ETF VI DORSEYWRIGHT D,G,Y,N,,20191031,20191031230030
FDUSG,FIDUS INVESTMENT CORPORATION 5,Q,Y,N,,20191031,20191031230030
FMK,FIRST TRUST MEGA CAP ALPHADEX,G,Y,N,,20191031,20191031230030
FTHI,FIRST TRUST EXCHANGE TRADED FD,G,Y,N,,20191031,20191031230030
HBT,HBT FINL INC.COM,Q,Y,N,,20191031,20191031230030
JFU,9F INC SPONSORED ADS (CYM),G,Y,N,,20191031,20191031230030
MTFB,MOTIF BIO PLC SPONSORED ADR,S,Y,N,,20191031,20191031230030
NNDM,NANO DIMENSION LTD SPONSORED A,S,Y,N,,20191031,20191031230030
OCGN,OCUGEN INC COM,S,Y,N,,20191031,20191031230030
OFSSI,OFS CAP CORP NT,Q,Y,N,,20191031,20191031230030
OPGN,OPGEN INC COM PAR $0.01(DE),S,Y,N,,20191031,20191031230030
OVID,OVID THERAPEUTICS INC,Q,Y,N,,20191031,20191031230030
PDEV,PRIN EXCH-TRADED FDS INTL MULT,G,Y,N,,20191031,20191031230030
TMDI,TITAN MED INC (CANADA),S,Y,N,,20191031,20191031230030
TROV,TROVAGENE INC COM PAR $0.0001,S,Y,N,,20191031,20191031230030
TVIX,CREDIT SUISSE AG NASSAU BRH VE,G,Y,N,,20191031,20191031230030
APOP,CELLECT BIOTECHNOLOGY LTD SPON,S,Y,N,,20191101,20191101230002
AWSM,COOL HLDGS INC COM STK (MD),S,Y,N,,20191101,20191101230002
BNGO,BIONANO GENOMICS INC COM,S,Y,N,,20191101,20191101230002
BYND,BEYOND MEAT INC COM (DE),Q,Y,N,,20191101,20191101230002
FMK,FIRST TRUST MEGA CAP ALPHADEX,G,Y,N,,20191101,20191101230002
