id,effectiveDate,cusip,symbol,description,market,listSource,publicationDate
194516,2019-10-01,74347B201,TBT,ProShares Trust UltraShort Lehman 20+ Year Treasury,NYSE Arca,FINRA,2019-10-01
194522,2019-10-01,25459W540,TMF,Direxion Daily 20+ Year Treasury Bull 3X Shares (based on the NYSE 20 Year Plus Treasury Bond Index;,NYSE Arca,FINRA,2019-10-01
194524,2019-10-01,25459Y678,TMV,Direxion Daily 20+ Year Treasury,NYSE Arca,FINRA,2019-10-01
194518,2019-10-01,25460E125,TZA,Direxion Daily Small Cap Bear 3x Shares,NYSE Arca,FINRA,2019-10-01
194536,2019-10-01,464286392,URTH,iShares MSCI World ETF,NYSE Arca,FINRA,2019-10-01
194558,2019-10-01,26922A297,VEGN,US Vegan Climate ETF,NYSE Arca,FINRA,2019-10-01
194508,2019-10-01,78464A722,XPH,SPDR S&P Pharmaceuticals ETF,NYSE Arca,FINRA,2019-10-01
194510,2019-10-01,78464A714,XRT,SPDR S&P Retail ETF,NYSE Arca,FINRA,2019-10-01
194560,2019-10-01,98872F204,YUMA,Yuma Energy Inc,NYSE American,FINRA,2019-10-01
194562,2019-10-02,00901B105,AIM,AIM ImmunoTech Inc.,NYSE American,FINRA,2019-10-02
194606,2019-10-02,33939L670,BNDC,FlexShares Core Select Bond Fund,NYSE Arca,FINRA,2019-10-02
194608,2019-10-02,17325E309,DWT,VelocityShares 3x Inverse Crude,NYSE Arca,FINRA,2019-10-02
194612,2019-10-02,46435U549,EAGG,iShares ESG US Aggregate Bond ETF,NYSE Arca,FINRA,2019-10-02
194600,2019-10-02,25459Y280,EURL,Direxion Daily FTSE Europe Bull 3x Shares,NYSE Arca,FINRA,2019-10-02
194588,2019-10-02,464286681,EUSA,iShares MSCI USA Equal Weighted ETF,NYSE Arca,FINRA,2019-10-02
194564,2019-10-02,464286822,EWW,iShares MSCI Mexico ETF,NYSE Arca,FINRA,2019-10-02
194616,2019-10-02,78470P507,FISR,SPDR SSGA Fixed Income Sector Rotation ETF,NYSE Arca,FINRA,2019-10-02
194614,2019-10-02,33739P830,FSMB,First Trust Short Duration Managed Municipal ETF,NYSE Arca,FINRA,2019-10-02
194596,2019-10-02,37954Y475,HSPX,Global X S&P 500 Covered Call ETF,NYSE Arca,FINRA,2019-10-02
194598,2019-10-02,25460E877,JDST,Direxion Daily Junior Gold Miners Index Bear 3X Shares,NYSE Arca,FINRA,2019-10-02
194604,2019-10-02,47804J404,JHMF,John Hancock Multifactor Financials ETF,NYSE Arca,FINRA,2019-10-02
194592,2019-10-02,74347W387,KOLD,ProShares UltraShort Bloomberg Natural Gas,NYSE Arca,FINRA,2019-10-02
194602,2019-10-02,25460E539,LABD,Direxion Daily S&P Biotech Bear 3X Shares,NYSE Arca,FINRA,2019-10-02
194586,2019-10-02,45779A853,NSPR,"InspireMD, Inc.",NYSE American,FINRA,2019-10-02
194584,2019-10-02,003262102,PALL,Aberdeen Standard Physical Palladium Shares ETF,NYSE Arca,FINRA,2019-10-02
194566,2019-10-02,720279504,PIR,"Pier 1 Imports, Inc.",NYSE,FINRA,2019-10-02
194578,2019-10-02,46090A101,PSR,Invesco Active U.S. Real Estate Fund,NYSE Arca,FINRA,2019-10-02
194572,2019-10-02,78463X509,SPEM,SPDR Portfolio Emerging Markets,NYSE Arca,FINRA,2019-10-02
194590,2019-10-02,74347W130,SVXY,ProShares Short VIX Short-Term Futures ETF,NYSE Arca,FINRA,2019-10-02
194574,2019-10-02,74347B201,TBT,ProShares Trust UltraShort Lehman 20+ Year Treasury,NYSE Arca,FINRA,2019-10-02
194580,2019-10-02,25459W540,TMF,Direxion Daily 20+ Year Treasury Bull 3X Shares (based on the NYSE 20 Year Plus Treasury Bond Index;,NYSE Arca,FINRA,2019-10-02
194582,2019-10-02,25459Y678,TMV,Direxion Daily 20+ Year Treasury,NYSE Arca,FINRA,2019-10-02
194576,2019-10-02,25460E125,TZA,Direxion Daily Small Cap Bear 3x Shares,NYSE Arca,FINRA,2019-10-02
194594,2019-10-02,464286392,URTH,iShares MSCI World ETF,NYSE Arca,FINRA,2019-10-02
194610,2019-10-02,17325E291,UWT,VelocityShares3x Long Crude Oil,NYSE Arca,FINRA,2019-10-02
194618,2019-10-02,26922A297,VEGN,US Vegan Climate ETF,NYSE Arca,FINRA,2019-10-02
194568,2019-10-02,78464A722,XPH,SPDR S&P Pharmaceuticals ETF,NYSE Arca,FINRA,2019-10-02
194570,2019-10-02,78464A714,XRT,SPDR S&P Retail ETF,NYSE Arca,FINRA,2019-10-02
194620,2019-10-03,00901B105,AIM,AIM ImmunoTech Inc.,NYSE American,FINRA,2019-10-03
194662,2019-10-03,33939L670,BNDC,FlexShares Core Select Bond Fund,NYSE Arca,FINRA,2019-10-03
194664,2019-10-03,17325E309,DWT,VelocityShares 3x Inverse Crude,NYSE Arca,FINRA,2019-10-03
194668,2019-10-03,46435U549,EAGG,iShares ESG US Aggregate Bond ETF,NYSE Arca,FINRA,2019-10-03
194656,2019-10-03,25459Y280,EURL,Direxion Daily FTSE Europe Bull 3x Shares,NYSE Arca,FINRA,2019-10-03
194644,2019-10-03,464286681,EUSA,iShares MSCI USA Equal Weighted ETF,NYSE Arca,FINRA,2019-10-03
194622,2019-10-03,464286822,EWW,iShares MSCI Mexico ETF,NYSE Arca,FINRA,2019-10-03
194672,2019-10-03,78470P507,FISR,SPDR SSGA Fixed Income Sector Rotation ETF,NYSE Arca,FINRA,2019-10-03
194670,2019-10-03,33739P830,FSMB,First Trust Short Duration Managed Municipal ETF,NYSE Arca,FINRA,2019-10-03
194652,2019-10-03,37954Y475,HSPX,Global X S&P 500 Covered Call ETF,NYSE Arca,FINRA,2019-10-03
194654,2019-10-03,25460E877,JDST,Direxion Daily Junior Gold Miners Index Bear 3X Shares,NYSE Arca,FINRA,2019-10-03
194660,2019-10-03,47804J404,JHMF,John Hancock Multifactor Financials ETF,NYSE Arca,FINRA,2019-10-03
194648,2019-10-03,74347W387,KOLD,ProShares UltraShort Bloomberg Natural Gas,NYSE Arca,FINRA,2019-10-03
194658,2019-10-03,25460E539,LABD,Direxion Daily S&P Biotech Bear 3X Shares,NYSE Arca,FINRA,2019-10-03
194642,2019-10-03,45779A853,NSPR,"InspireMD, Inc.",NYSE American,FINRA,2019-10-03
194640,2019-10-03,003262102,PALL,Aberdeen Standard Physical Palladium Shares ETF,NYSE Arca,FINRA,2019-10-03
194634,2019-10-03,46090A101,PSR,Invesco Active U.S. Real Estate Fund,NYSE Arca,FINRA,2019-10-03
194628,2019-10-03,78463X509,SPEM,SPDR Portfolio Emerging Markets,NYSE Arca,FINRA,2019-10-03
194646,2019-10-03,74347W130,SVXY,ProShares Short VIX Short-Term Futures ETF,NYSE Arca,FINRA,2019-10-03
194630,2019-10-03,74347B201,TBT,ProShares Trust UltraShort Lehman 20+ Year Treasury,NYSE Arca,FINRA,2019-10-03
194636,2019-10-03,25459W540,TMF,Direxion Daily 20+ Year Treasury Bull 3X Shares (based on the NYSE 20 Year Plus Treasury Bond Index;,NYSE Arca,FINRA,2019-10-03
194638,2019-10-03,25459Y678,TMV,Direxion Daily 20+ Year Treasury,NYSE Arca,FINRA,2019-10-03
194632,2019-10-03,25460E125,TZA,Direxion Daily Small Cap Bear 3x Shares,NYSE Arca,FINRA,2019-10-03
194650,2019-10-03,464286392,URTH,iShares MSCI World ETF,NYSE Arca,FINRA,2019-10-03
194666,2019-10-03,17325E291,UWT,VelocityShares3x Long Crude Oil,NYSE Arca,FINRA,2019-10-03
194624,2019-10-03,78464A722,XPH,SPDR S&P Pharmaceuticals ETF,NYSE Arca,FINRA,2019-10-03
194626,2019-10-03,78464A714,XRT,SPDR S&P Retail ETF,NYSE Arca,FINRA,2019-10-03
194674,2019-10-04,00901B105,AIM,AIM ImmunoTech Inc.,NYSE American,FINRA,2019-10-04
194704,2019-10-04,33939L670,BNDC,FlexShares Core Select Bond Fund,NYSE Arca,FINRA,2019-10-04
194706,2019-10-04,17325E309,DWT,VelocityShares 3x Inverse Crude,NYSE Arca,FINRA,2019-10-04
194710,2019-10-04,46435U549,EAGG,iShares ESG US Aggregate Bond ETF,NYSE Arca,FINRA,2019-10-04
194700,2019-10-04,25459Y280,EURL,Direxion Daily FTSE Europe Bull 3x Shares,NYSE Arca,FINRA,2019-10-04
194676,2019-10-04,464286822,EWW,iShares MSCI Mexico ETF,NYSE Arca,FINRA,2019-10-04
194714,2019-10-04,78470P507,FISR,SPDR SSGA Fixed Income Sector Rotation ETF,NYSE Arca,FINRA,2019-10-04
194716,2019-10-04,31188V100,FSLY,"Fastly, Inc.",NYSE,FINRA,2019-10-04
194712,2019-10-04,33739P830,FSMB,First Trust Short Duration Managed Municipal ETF,NYSE Arca,FINRA,2019-10-04
194696,2019-10-04,37954Y475,HSPX,Global X S&P 500 Covered Call ETF,NYSE Arca,FINRA,2019-10-04
194698,2019-10-04,25460E877,JDST,Direxion Daily Junior Gold Miners Index Bear 3X Shares,NYSE Arca,FINRA,2019-10-04
194692,2019-10-04,74347W387,KOLD,ProShares UltraShort Bloomberg Natural Gas,NYSE Arca,FINRA,2019-10-04
194702,2019-10-04,25460E539,LABD,Direxion Daily S&P Biotech Bear 3X Shares,NYSE Arca,FINRA,2019-10-04
194688,2019-10-04,003262102,PALL,Aberdeen Standard Physical Palladium Shares ETF,NYSE Arca,FINRA,2019-10-04
194684,2019-10-04,46090A101,PSR,Invesco Active U.S. Real Estate Fund,NYSE Arca,FINRA,2019-10-04
194682,2019-10-04,78463X509,SPEM,SPDR Portfolio Emerging Markets,NYSE Arca,FINRA,2019-10-04
194690,2019-10-04,74347W130,SVXY,ProShares Short VIX Short-Term Futures ETF,NYSE Arca,FINRA,2019-10-04
194686,2019-10-04,25459W540,TMF,Direxion Daily 20+ Year Treasury Bull 3X Shares (based on the NYSE 20 Year Plus Treasury Bond Index;,NYSE Arca,FINRA,2019-10-04
194694,2019-10-04,464286392,URTH,iShares MSCI World ETF,NYSE Arca,FINRA,2019-10-04
194708,2019-10-04,17325E291,UWT,VelocityShares3x Long Crude Oil,NYSE Arca,FINRA,2019-10-04
194678,2019-10-04,78464A722,XPH,SPDR S&P Pharmaceuticals ETF,NYSE Arca,FINRA,2019-10-04
194680,2019-10-04,78464A714,XRT,SPDR S&P Retail ETF,NYSE Arca,FINRA,2019-10-04
194718,2019-10-07,00901B105,AIM,AIM ImmunoTech Inc.,NYSE American,FINRA,2019-10-07
194746,2019-10-07,33939L670,BNDC,FlexShares Core Select Bond Fund,NYSE Arca,FINRA,2019-10-07
194748,2019-10-07,17325E309,DWT,VelocityShares 3x Inverse Crude,NYSE Arca,FINRA,2019-10-07
194752,2019-10-07,46435U549,EAGG,iShares ESG US Aggregate Bond ETF,NYSE Arca,FINRA,2019-10-07
194720,2019-10-07,464286822,EWW,iShares MSCI Mexico ETF,NYSE Arca,FINRA,2019-10-07
194728,2019-10-07,33733E807,FCG,First Trust Natural Gas ETF,NYSE Arca,FINRA,2019-10-07
194756,2019-10-07,78470P507,FISR,SPDR SSGA Fixed Income Sector Rotation ETF,NYSE Arca,FINRA,2019-10-07
194758,2019-10-07,31188V100,FSLY,"Fastly, Inc.",NYSE,FINRA,2019-10-07
194754,2019-10-07,33739P830,FSMB,First Trust Short Duration Managed Municipal ETF,NYSE Arca,FINRA,2019-10-07
194740,2019-10-07,37954Y475,HSPX,Global X S&P 500 Covered Call ETF,NYSE Arca,FINRA,2019-10-07
194742,2019-10-07,500767207,KFYP,KraneShares CICC China Leaders 100 Index ETF,NYSE Arca,FINRA,2019-10-07
194738,2019-10-07,74347W387,KOLD,ProShares UltraShort Bloomberg Natural Gas,NYSE Arca,FINRA,2019-10-07
194744,2019-10-07,25460E539,LABD,Direxion Daily S&P Biotech Bear 3X Shares,NYSE Arca,FINRA,2019-10-07
194734,2019-10-07,003262102,PALL,Aberdeen Standard Physical Palladium Shares ETF,NYSE Arca,FINRA,2019-10-07
194730,2019-10-07,46090A101,PSR,Invesco Active U.S. Real Estate Fund,NYSE Arca,FINRA,2019-10-07
194726,2019-10-07,78463X509,SPEM,SPDR Portfolio Emerging Markets,NYSE Arca,FINRA,2019-10-07
194736,2019-10-07,74347W130,SVXY,ProShares Short VIX Short-Term Futures ETF,NYSE Arca,FINRA,2019-10-07
194732,2019-10-07,25459W540,TMF,Direxion Daily 20+ Year Treasury Bull 3X Shares (based on the NYSE 20 Year Plus Treasury Bond Index;,NYSE Arca,FINRA,2019-10-07
194750,2019-10-07,17325E291,UWT,VelocityShares3x Long Crude Oil,NYSE Arca,FINRA,2019-10-07
194722,2019-10-07,78464A722,XPH,SPDR S&P Pharmaceuticals ETF,NYSE Arca,FINRA,2019-10-07
194724,2019-10-07,78464A714,XRT,SPDR S&P Retail ETF,NYSE Arca,FINRA,2019-10-07
194760,2019-10-08,00901B105,AIM,AIM ImmunoTech Inc.,NYSE American,FINRA,2019-10-08
194786,2019-10-08,33939L670,BNDC,FlexShares Core Select Bond Fund,NYSE Arca,FINRA,2019-10-08
194788,2019-10-08,17325E309,DWT,VelocityShares 3x Inverse Crude,NYSE Arca,FINRA,2019-10-08
194794,2019-10-08,46435U549,EAGG,iShares ESG US Aggregate Bond ETF,NYSE Arca,FINRA,2019-10-08
194762,2019-10-08,464286822,EWW,iShares MSCI Mexico ETF,NYSE Arca,FINRA,2019-10-08
194770,2019-10-08,33733E807,FCG,First Trust Natural Gas ETF,NYSE Arca,FINRA,2019-10-08
194798,2019-10-08,78470P507,FISR,SPDR SSGA Fixed Income Sector Rotation ETF,NYSE Arca,FINRA,2019-10-08
194800,2019-10-08,31188V100,FSLY,"Fastly, Inc.",NYSE,FINRA,2019-10-08
194796,2019-10-08,33739P830,FSMB,First Trust Short Duration Managed Municipal ETF,NYSE Arca,FINRA,2019-10-08
194780,2019-10-08,37954Y475,HSPX,Global X S&P 500 Covered Call ETF,NYSE Arca,FINRA,2019-10-08
194782,2019-10-08,500767207,KFYP,KraneShares CICC China Leaders 100 Index ETF,NYSE Arca,FINRA,2019-10-08
194784,2019-10-08,25460E539,LABD,Direxion Daily S&P Biotech Bear 3X Shares,NYSE Arca,FINRA,2019-10-08
194776,2019-10-08,003262102,PALL,Aberdeen Standard Physical Palladium Shares ETF,NYSE Arca,FINRA,2019-10-08
194772,2019-10-08,46090A101,PSR,Invesco Active U.S. Real Estate Fund,NYSE Arca,FINRA,2019-10-08
194778,2019-10-08,74347W130,SVXY,ProShares Short VIX Short-Term Futures ETF,NYSE Arca,FINRA,2019-10-08
194774,2019-10-08,25459W540,TMF,Direxion Daily 20+ Year Treasury Bull 3X Shares (based on the NYSE 20 Year Plus Treasury Bond Index;,NYSE Arca,FINRA,2019-10-08
194792,2019-10-08,91733T307,USOU,United States 3X Oil Fund,NYSE Arca,FINRA,2019-10-08
194790,2019-10-08,17325E291,UWT,VelocityShares3x Long Crude Oil,NYSE Arca,FINRA,2019-10-08
194764,2019-10-08,78464A730,XOP,SPDR S&P Oil & Gas Exploration & Production ETF,NYSE Arca,FINRA,2019-10-08
194766,2019-10-08,78464A722,XPH,SPDR S&P Pharmaceuticals ETF,NYSE Arca,FINRA,2019-10-08
194768,2019-10-08,78464A714,XRT,SPDR S&P Retail ETF,NYSE Arca,FINRA,2019-10-08
194802,2019-10-09,00901B105,AIM,AIM ImmunoTech Inc.,NYSE American,FINRA,2019-10-09
194828,2019-10-09,33939L670,BNDC,FlexShares Core Select Bond Fund,NYSE Arca,FINRA,2019-10-09
194830,2019-10-09,17325E309,DWT,VelocityShares 3x Inverse Crude,NYSE Arca,FINRA,2019-10-09
194838,2019-10-09,46435U549,EAGG,iShares ESG US Aggregate Bond ETF,NYSE Arca,FINRA,2019-10-09
194810,2019-10-09,33733E807,FCG,First Trust Natural Gas ETF,NYSE Arca,FINRA,2019-10-09
194846,2019-10-09,78470P507,FISR,SPDR SSGA Fixed Income Sector Rotation ETF,NYSE Arca,FINRA,2019-10-09
194848,2019-10-09,31188V100,FSLY,"Fastly, Inc.",NYSE,FINRA,2019-10-09
194840,2019-10-09,33739P830,FSMB,First Trust Short Duration Managed Municipal ETF,NYSE Arca,FINRA,2019-10-09
194842,2019-10-09,33740J104,FUMB,First Trust Ultra Short Duration Municipal ETF,NYSE Arca,FINRA,2019-10-09
194822,2019-10-09,37954Y475,HSPX,Global X S&P 500 Covered Call ETF,NYSE Arca,FINRA,2019-10-09
194836,2019-10-09,46139W700,IMFC,Invesco Multi-Factor Core Fixed Income ETF,NYSE Arca,FINRA,2019-10-09
194824,2019-10-09,500767207,KFYP,KraneShares CICC China Leaders 100 Index ETF,NYSE Arca,FINRA,2019-10-09
194826,2019-10-09,25460E539,LABD,Direxion Daily S&P Biotech Bear 3X Shares,NYSE Arca,FINRA,2019-10-09
194820,2019-10-09,78468R705,MMTM,SPDR S&P 1500 Momentum Tilt ETF,NYSE Arca,FINRA,2019-10-09
194816,2019-10-09,003262102,PALL,Aberdeen Standard Physical Palladium Shares ETF,NYSE Arca,FINRA,2019-10-09
194812,2019-10-09,46090A101,PSR,Invesco Active U.S. Real Estate Fund,NYSE Arca,FINRA,2019-10-09
194844,2019-10-09,87166N106,SSPY,Syntax Stratified LargeCap ETF,NYSE Arca,FINRA,2019-10-09
194818,2019-10-09,74347W130,SVXY,ProShares Short VIX Short-Term Futures ETF,NYSE Arca,FINRA,2019-10-09
194814,2019-10-09,25459W540,TMF,Direxion Daily 20+ Year Treasury Bull 3X Shares (based on the NYSE 20 Year Plus Treasury Bond Index;,NYSE Arca,FINRA,2019-10-09
194834,2019-10-09,91733T307,USOU,United States 3X Oil Fund,NYSE Arca,FINRA,2019-10-09
194832,2019-10-09,17325E291,UWT,VelocityShares3x Long Crude Oil,NYSE Arca,FINRA,2019-10-09
194804,2019-10-09,78464A730,XOP,SPDR S&P Oil & Gas Exploration & Production ETF,NYSE Arca,FINRA,2019-10-09
194806,2019-10-09,78464A722,XPH,SPDR S&P Pharmaceuticals ETF,NYSE Arca,FINRA,2019-10-09
194808,2019-10-09,78464A714,XRT,SPDR S&P Retail ETF,NYSE Arca,FINRA,2019-10-09
194850,2019-10-10,00901B105,AIM,AIM ImmunoTech Inc.,NYSE American,FINRA,2019-10-10
194878,2019-10-10,33939L670,BNDC,FlexShares Core Select Bond Fund,NYSE Arca,FINRA,2019-10-10
194870,2019-10-10,74347Y706,BOIL,ProShares Ultra Bloomberg Natura,NYSE Arca,FINRA,2019-10-10
194886,2019-10-10,26922A560,CHGX,Change Finance U.S. Large Cap FoSSil Fuel Free ETF,NYSE Arca,FINRA,2019-10-10
194890,2019-10-10,46435U549,EAGG,iShares ESG US Aggregate Bond ETF,NYSE Arca,FINRA,2019-10-10
194858,2019-10-10,33733E807,FCG,First Trust Natural Gas ETF,NYSE Arca,FINRA,2019-10-10
194898,2019-10-10,78470P507,FISR,SPDR SSGA Fixed Income Sector Rotation ETF,NYSE Arca,FINRA,2019-10-10
194856,2019-10-10,33734G108,FRI,First Trust S&P REIT Index Fund,NYSE Arca,FINRA,2019-10-10
194900,2019-10-10,31188V100,FSLY,"Fastly, Inc.",NYSE,FINRA,2019-10-10
194892,2019-10-10,33739P830,FSMB,First Trust Short Duration Managed Municipal ETF,NYSE Arca,FINRA,2019-10-10
194894,2019-10-10,33740J104,FUMB,First Trust Ultra Short Duration Municipal ETF,NYSE Arca,FINRA,2019-10-10
194888,2019-10-10,46139W700,IMFC,Invesco Multi-Factor Core Fixed Income ETF,NYSE Arca,FINRA,2019-10-10
194874,2019-10-10,500767207,KFYP,KraneShares CICC China Leaders 100 Index ETF,NYSE Arca,FINRA,2019-10-10
194876,2019-10-10,25460E539,LABD,Direxion Daily S&P Biotech Bear 3X Shares,NYSE Arca,FINRA,2019-10-10
194872,2019-10-10,78468R705,MMTM,SPDR S&P 1500 Momentum Tilt ETF,NYSE Arca,FINRA,2019-10-10
194866,2019-10-10,37950E747,NORW,Global X MSCI Norway ETF,NYSE Arca,FINRA,2019-10-10
194864,2019-10-10,003262102,PALL,Aberdeen Standard Physical Palladium Shares ETF,NYSE Arca,FINRA,2019-10-10
194860,2019-10-10,46090A101,PSR,Invesco Active U.S. Real Estate Fund,NYSE Arca,FINRA,2019-10-10
194896,2019-10-10,87166N106,SSPY,Syntax Stratified LargeCap ETF,NYSE Arca,FINRA,2019-10-10
194868,2019-10-10,74347W130,SVXY,ProShares Short VIX Short-Term Futures ETF,NYSE Arca,FINRA,2019-10-10
194862,2019-10-10,25459W540,TMF,Direxion Daily 20+ Year Treasury Bull 3X Shares (based on the NYSE 20 Year Plus Treasury Bond Index;,NYSE Arca,FINRA,2019-10-10
194882,2019-10-10,91733T505,USOD,United States 3X Short Oil Fund,NYSE Arca,FINRA,2019-10-10
194884,2019-10-10,91733T307,USOU,United States 3X Oil Fund,NYSE Arca,FINRA,2019-10-10
194880,2019-10-10,17325E291,UWT,VelocityShares3x Long Crude Oil,NYSE Arca,FINRA,2019-10-10
194852,2019-10-10,78464A730,XOP,SPDR S&P Oil & Gas Exploration & Production ETF,NYSE Arca,FINRA,2019-10-10
194854,2019-10-10,78464A714,XRT,SPDR S&P Retail ETF,NYSE Arca,FINRA,2019-10-10
194902,2019-10-11,00901B105,AIM,AIM ImmunoTech Inc.,NYSE American,FINRA,2019-10-11
194930,2019-10-11,33939L670,BNDC,FlexShares Core Select Bond Fund,NYSE Arca,FINRA,2019-10-11
194922,2019-10-11,74347Y706,BOIL,ProShares Ultra Bloomberg Natura,NYSE Arca,FINRA,2019-10-11
194938,2019-10-11,26922A560,CHGX,Change Finance U.S. Large Cap FoSSil Fuel Free ETF,NYSE Arca,FINRA,2019-10-11
194942,2019-10-11,46435U549,EAGG,iShares ESG US Aggregate Bond ETF,NYSE Arca,FINRA,2019-10-11
194910,2019-10-11,33733E807,FCG,First Trust Natural Gas ETF,NYSE Arca,FINRA,2019-10-11
194950,2019-10-11,78470P507,FISR,SPDR SSGA Fixed Income Sector Rotation ETF,NYSE Arca,FINRA,2019-10-11
194908,2019-10-11,33734G108,FRI,First Trust S&P REIT Index Fund,NYSE Arca,FINRA,2019-10-11
194952,2019-10-11,31188V100,FSLY,"Fastly, Inc.",NYSE,FINRA,2019-10-11
194944,2019-10-11,33739P830,FSMB,First Trust Short Duration Managed Municipal ETF,NYSE Arca,FINRA,2019-10-11
194946,2019-10-11,33740J104,FUMB,First Trust Ultra Short Duration Municipal ETF,NYSE Arca,FINRA,2019-10-11
194940,2019-10-11,46139W700,IMFC,Invesco Multi-Factor Core Fixed Income ETF,NYSE Arca,FINRA,2019-10-11
194926,2019-10-11,500767207,KFYP,KraneShares CICC China Leaders 100 Index ETF,NYSE Arca,FINRA,2019-10-11
194928,2019-10-11,25460E539,LABD,Direxion Daily S&P Biotech Bear 3X Shares,NYSE Arca,FINRA,2019-10-11
194924,2019-10-11,78468R705,MMTM,SPDR S&P 1500 Momentum Tilt ETF,NYSE Arca,FINRA,2019-10-11
194918,2019-10-11,37950E747,NORW,Global X MSCI Norway ETF,NYSE Arca,FINRA,2019-10-11
194916,2019-10-11,003262102,PALL,Aberdeen Standard Physical Palladium Shares ETF,NYSE Arca,FINRA,2019-10-11
194912,2019-10-11,46090A101,PSR,Invesco Active U.S. Real Estate Fund,NYSE Arca,FINRA,2019-10-11
194948,2019-10-11,87166N106,SSPY,Syntax Stratified LargeCap ETF,NYSE Arca,FINRA,2019-10-11
194920,2019-10-11,74347W130,SVXY,ProShares Short VIX Short-Term Futures ETF,NYSE Arca,FINRA,2019-10-11
194954,2019-10-11,84858T400,THCX,The Cannabis ETF,NYSE Arca,FINRA,2019-10-11
194914,2019-10-11,25459W540,TMF,Direxion Daily 20+ Year Treasury Bull 3X Shares (based on the NYSE 20 Year Plus Treasury Bond Index;,NYSE Arca,FINRA,2019-10-11
194934,2019-10-11,91733T505,USOD,United States 3X Short Oil Fund,NYSE Arca,FINRA,2019-10-11
194936,2019-10-11,91733T307,USOU,United States 3X Oil Fund,NYSE Arca,FINRA,2019-10-11
194932,2019-10-11,17325E291,UWT,VelocityShares3x Long Crude Oil,NYSE Arca,FINRA,2019-10-11
194904,2019-10-11,78464A730,XOP,SPDR S&P Oil & Gas Exploration & Production ETF,NYSE Arca,FINRA,2019-10-11
194906,2019-10-11,78464A714,XRT,SPDR S&P Retail ETF,NYSE Arca,FINRA,2019-10-11
194984,2019-10-15,33939L670,BNDC,FlexShares Core Select Bond Fund,NYSE Arca,FINRA,2019-10-15
194974,2019-10-15,74347Y706,BOIL,ProShares Ultra Bloomberg Natura,NYSE Arca,FINRA,2019-10-15
194992,2019-10-15,26922A560,CHGX,Change Finance U.S. Large Cap FoSSil Fuel Free ETF,NYSE Arca,FINRA,2019-10-15
194960,2019-10-15,46137Y401,CZA,Invesco Zacks Mid-Cap ETF,NYSE Arca,FINRA,2019-10-15
194996,2019-10-15,46435U549,EAGG,iShares ESG US Aggregate Bond ETF,NYSE Arca,FINRA,2019-10-15
194964,2019-10-15,33733E807,FCG,First Trust Natural Gas ETF,NYSE Arca,FINRA,2019-10-15
195004,2019-10-15,78470P507,FISR,SPDR SSGA Fixed Income Sector Rotation ETF,NYSE Arca,FINRA,2019-10-15
194962,2019-10-15,33734G108,FRI,First Trust S&P REIT Index Fund,NYSE Arca,FINRA,2019-10-15
